id,name,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18,Topic19
58,1970TGO,0.126635514,0.003894081,0.132242991,1.56E-04,0.011370717,0.125389408,0.088006231,0.099844237,0.02258567,0.011993769,0.002024922,0.099844237,0.091744548,0.020716511,0.047507788,0.006386293,0.006386293,0.098598131,0.001401869,0.003271028
59,1970THA,0.038226673,0.053859306,0.18185149,0.032852956,0.04555447,0.132510992,0.048485589,0.087567171,0.00109917,0.005984367,0.002564729,0.089521251,0.072911578,1.22E-04,0.042623351,0.007938447,0.020151441,0.080727894,0.030898876,0.024548119
60,1970TTO,0.031699794,0.002227553,0.094756683,0.001542152,0.001542152,0.096812886,0.041295408,0.183858807,1.71E-04,0.002912954,0.074194654,0.10023989,0.155757368,0.030328992,0.045407814,1.71E-04,0.017991775,0.061857437,0.05705963,1.71E-04
61,1970TUN,0.037417763,0.004523026,0.08401864,1.37E-04,0.008360746,0.102658991,0.050575658,0.038514254,0.049479167,0.081825658,0.015487939,0.165707237,0.159128289,0.002330044,0.043448465,0.045641447,1.37E-04,0.091145833,0.011650219,0.0078125
62,1970TUR,0.040711346,1.47E-04,0.185920047,0.023074662,0.01425632,0.112433862,0.055996473,0.001910641,1.47E-04,1.47E-04,0.011316872,0.151234568,0.138888889,1.47E-04,0.055996473,0.040123457,0.033068783,0.083039389,0.037184009,0.01425632
63,1970UKR,0.048091043,0.009911894,0.09557024,0.039769946,0.007953989,0.113680861,0.022148801,0.012848752,0.128365149,0.008932942,0.030469897,0.093612335,0.210107685,0.026064611,0.069627998,1.22E-04,0.005506608,0.073054332,1.22E-04,0.004038179
64,1970URY,1.41E-04,0.001266892,0.049690315,0.010275901,0.02660473,0.073338964,0.084600225,0.029983108,0.001829955,1.41E-04,0.087978604,0.178631757,0.077843468,0.078969595,0.095298423,0.018721847,0.040118243,0.103744369,0.038429054,0.002393018
65,1970USA,0.025325187,8.87E-04,0.108888451,0.012711864,0.051734332,0.20585337,0.01744186,0.047398502,9.85E-05,9.85E-05,0.020201025,0.186933386,0.086815136,0.022171857,0.031631849,0.00561687,0.085632637,0.055281829,0.03360268,0.001675207
66,1970VEN,0.00339586,1.62E-04,0.057729625,0.021507115,0.01503881,0.060316947,0.348803364,0.033150065,0.008570505,1.62E-04,1.62E-04,0.093305304,0.07584088,0.042852523,0.053848642,0.025388098,0.019566624,0.110769728,0.025388098,0.004042691
67,1970YUG,0.037238325,0.008252818,0.120974235,0.018719807,2.01E-04,0.145128824,0.056561997,2.01E-04,0.035628019,0.007447665,0.014694042,0.081521739,0.199074074,2.01E-04,0.093599034,0.010668277,0.005032206,0.155595813,0.009057971,2.01E-04
68,1970ZAF,0.110904794,1.69E-04,0.066340311,1.69E-04,0.008271438,0.107528697,0.064314652,1.69E-04,0.027177583,1.69E-04,0.001519244,0.108203916,0.098075625,8.44E-04,0.118332208,0.036630655,0.00557056,0.060938555,0.107528697,0.077143822
69,1970ZMB,0.225027902,0.021902902,0.108956473,0.015206473,0.006835938,0.106166295,0.065429688,0.017996652,0.015764509,0.010184152,1.40E-04,0.068219866,0.077148438,0.010184152,0.079938616,0.034179688,0.027483259,0.079938616,0.010184152,0.019112723
